Export of C:\Users\extra\OneDrive\Documents\FlashPro Calibrations\stock tune idle.csv
Number of frames 925
Length: 0:00:46.187s
frame,time_ms,time_us,RPM,VSS,Gear,PTANK,MAP,BP,BP CMD,TPedal,TPlate,AFM.v,AFM Hz,AFM,AFM.c,AIRC,EGR,IAT,IAT2,ECT,ECT2,PA,Oil.Press,CVT.Temp,INJ,INJ Bank 2,DUTY,DIFP,DIFPCMD,FuelP,IGN,CAM,CAMCMD,EXCAM,EXCAMCMD,WG,WGCMD,WGSOL,VTS,SVS,Purge,ACCL,BC Duty,BC Target,AF,AF Bank 2,AF.Corr,Wide.V,Wide,AFCMD,AFCMD Bank 2,S.TRIM,L.TRIM,S.TRIM Bank 2,L.TRIM Bank 2,Trim,Fuel Status,Fuel Status Bank 2,Ethanol,EBCAN Status,K.Level,K.Retard,K.Retard.1,K.Retard.2,K.Retard.3,K.Retard.4,K.Control,Ign.Limit,K.Count,K.Count.1,K.Count.2,K.Count.3,K.Count.4,K.Count.5,K.Count.6,BAT,Cat.T,ABS.LF,ABS.RF,ABS.LR,ABS.RR,Clutch.Pos,Brake.Press,Steer Ang,Steer Trq,G.Lat,G.Long,G.Z,Yaw,Eco,Fuel Used,TC.V,TC.ECUSlip,TC.R,TC.LF,TC.RF,TC.LR,TC.RR,TC.Slip,TC.Turn,TC.OverSlip,TC.Out,Trq Req,Act Trq
10,719,0,742,.0000,1,0.0,-21.6,-29.9,-29.9,0,3,1.09,0,2.00,80,0,0,125.6,32.0,201.2,186.8,0.0,0.00,32.0,2.23,0.00,1,0.00,0.00,0,10,0,0,0,0,0.00,0,0,Off,Off,5,Off,0,-29.9,14.80,0.00,14.80,0.00,10.00,14.64,0.00,16,0,0,0,16,2,0,0,0,1,0,0,0,0,0,55,76,0,0,0,0,0,0,0,14.00,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.013,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
11,765,0,748,.0000,1,0.0,-21.7,-29.9,-29.9,0,3,1.11,0,2.16,86,0,0,125.6,32.0,201.2,186.8,0.0,0.00,32.0,2.22,0.00,1,0.00,0.00,0,8,0,0,0,0,0.00,0,0,Off,Off,5,Off,0,-29.9,14.76,0.00,14.76,0.00,10.00,14.64,0.00,16,0,0,0,16,2,0,0,0,3,0,0,0,0,0,55,76,0,0,0,0,0,0,0,14.00,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.013,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
12,812,0,758,.0000,1,0.0,-21.7,-29.9,-29.9,0,3,1.13,0,2.26,89,0,0,125.6,32.0,201.2,186.8,0.0,0.00,32.0,2.19,0.00,1,0.00,0.00,0,6,0,0,0,0,0.00,0,0,Off,Off,5,Off,0,-29.9,14.76,0.00,14.76,0.00,10.00,14.64,0.00,16,0,0,0,16,2,0,0,0,8,0,0,0,0,0,55,76,0,0,0,0,0,0,0,14.10,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.013,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
13,859,0,763,.0000,1,0.0,-21.7,-29.9,-29.9,0,3,1.09,0,2.06,80,0,0,125.6,32.0,201.2,186.8,0.0,0.00,32.0,2.18,0.00,1,0.00,0.00,0,4,0,0,0,0,0.00,0,0,Off,Off,5,Off,0,-29.9,14.80,0.00,14.80,0.00,10.00,14.64,0.00,16,0,0,0,16,2,0,0,0,3,0,0,0,0,0,55,76,0,0,0,0,0,0,0,14.10,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.013,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
14,906,0,763,.0000,1,0.0,-21.7,-29.9,-29.9,0,3,1.09,0,2.00,78,0,0,125.6,32.0,201.2,186.8,0.0,0.00,32.0,2.17,0.00,1,0.00,0.00,0,4,0,0,0,0,0.00,0,0,Off,Off,5,Off,0,-29.9,14.76,0.00,14.76,0.00,10.00,14.64,0.00,16,0,0,0,16,2,0,0,0,2,0,0,0,0,0,55,76,0,0,0,0,0,0,0,14.10,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.013,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
15,969,0,759,.0000,1,0.0,-21.7,-29.9,-29.9,0,3,1.11,0,2.22,87,0,0,125.6,32.0,201.2,186.8,0.0,0.00,32.0,2.19,0.00,1,0.00,0.00,0,5,0,0,0,0,0.00,0,0,Off,Off,5,Off,0,-29.9,14.80,0.00,14.80,0.00,10.00,14.64,0.00,16,0,0,0,16,2,0,0,0,10,0,0,0,0,0,55,76,0,0,0,0,0,0,0,14.00,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.013,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
16,1015,0,751,.0000,1,0.0,-21.7,-29.9,-29.9,0,3,1.11,0,2.22,88,0,0,125.6,32.0,201.2,186.8,0.0,0.00,32.0,2.21,0.00,1,0.00,0.00,0,7,0,0,0,0,0.00,0,0,Off,Off,5,Off,0,-29.9,14.80,0.00,14.80,0.00,10.00,14.64,0.00,16,0,0,0,16,2,0,0,0,3,0,0,0,0,0,55,76,0,0,0,0,0,0,0,14.10,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.013,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
17,1062,0,753,.0000,1,0.0,-21.7,-29.9,-29.9,0,3,1.09,0,2.00,79,0,0,125.6,32.0,201.2,186.8,0.0,0.00,32.0,2.20,0.00,1,0.00,0.00,0,7,0,0,0,0,0.00,0,0,Off,Off,5,Off,0,-29.9,14.80,0.00,14.80,0.00,10.00,14.64,0.00,16,0,0,0,16,2,0,0,0,3,0,0,0,0,0,55,76,0,0,0,0,0,0,0,14.10,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.013,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
18,1109,0,747,.0000,1,0.0,-21.7,-29.9,-29.9,0,3,1.09,0,2.03,81,0,0,125.6,32.0,201.2,186.8,0.0,0.00,32.0,2.23,0.00,1,0.00,0.00,0,8,0,0,0,0,0.00,0,0,Off,Off,5,Off,0,-29.9,14.80,0.00,14.80,0.00,10.00,14.64,0.00,16,0,0,0,16,2,0,0,0,3,0,0,0,0,0,55,76,0,0,0,0,0,0,0,14.00,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.013,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
19,1156,0,754,.0000,1,0.0,-21.7,-29.9,-29.9,0,3,1.11,0,2.22,88,0,0,125.6,32.0,201.2,186.8,0.0,0.00,32.0,2.21,0.00,1,0.00,0.00,0,7,0,0,0,0,0.00,0,0,Off,Off,5,Off,0,-29.9,14.80,0.00,14.80,0.00,10.00,14.64,0.00,16,0,0,0,16,2,0,0,0,3,0,0,0,0,0,55,76,0,0,0,0,0,0,0,14.10,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.013,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
